,Speed,SpeedRank,Movie,City,Population,dSdt,sEdt,dIdt,dRdt
1266,Slow* ,2,The Walking Dead ,New_York,8398748,-2.8706545270863623e-10,-1.6455888505939784e-13,3950551.45000001,39904.55000000005
1267,Slow* ,2,The Walking Dead ,New_York,8398748,-2.85548324921429e-10,-1.636891999224319e-13,3950551.45000001,39904.55000000005
1268,Slow* ,2,The Walking Dead ,New_York,8398748,-2.803184863969433e-10,-1.606912214275819e-13,3950551.45000001,39904.55000000005
1269,Slow* ,2,The Walking Dead ,New_York,8398748,-2.713759371351789e-10,-1.555649495748478e-13,3950551.45000001,39904.55000000005
1270,Slow* ,2,The Walking Dead ,New_York,8398748,-2.5872067713613605e-10,-1.4831038436422966e-13,3950551.45000001,39904.55000000005
1271,Slow* ,2,The Walking Dead ,New_York,8398748,-2.4235270639981464e-10,-1.389275257957274e-13,3950551.4500000095,39904.55000000005
1272,Slow* ,2,The Walking Dead ,New_York,8398748,-2.2227202492621463e-10,-1.2741637386934112e-13,3950551.4500000095,39904.55000000005
1273,Slow* ,2,The Walking Dead ,New_York,8398748,-1.9847863271533608e-10,-1.1377692858507069e-13,3950551.4500000095,39904.55000000005
1274,Slow* ,2,The Walking Dead ,New_York,8398748,-1.7097252976717898e-10,-9.800918994291624e-14,3950551.4500000095,39904.55000000005
1275,Slow* ,2,The Walking Dead ,New_York,8398748,-1.397537160817433e-10,-8.011315794287768e-14,3950551.4500000095,39904.55000000005
1276,Slow* ,2,The Walking Dead ,New_York,8398748,-1.0482219165902905e-10,-6.008883258495506e-14,3950551.4500000095,39904.55000000005
1277,Slow* ,2,The Walking Dead ,New_York,8398748,-6.617795649903626e-11,-3.793621386914836e-14,3950551.4500000095,39904.55000000005
1278,Slow* ,2,The Walking Dead ,New_York,8398748,-2.38210106017649e-11,-1.3655301795457578e-14,3950551.4500000095,39904.55000000005
1279,Slow* ,2,The Walking Dead ,New_York,8398748,-9.126170231655234e-12,-5.231556636073042e-15,3950551.4500000095,39904.55000000005
1280,Slow* ,2,The Walking Dead ,New_York,8398748,-9.030242911295052e-12,-5.176567069307887e-15,3950551.4500000095,39904.55000000005
1281,Slow* ,2,The Walking Dead ,New_York,8398748,-8.90989347585492e-12,-5.107577593513301e-15,3950551.4500000095,39904.55000000005
1282,Slow* ,2,The Walking Dead ,New_York,8398748,-8.765121925334835e-12,-5.024588208689282e-15,3950551.4500000095,39904.55000000005
1283,Slow* ,2,The Walking Dead ,New_York,8398748,-8.595928259734801e-12,-4.9275989148358294e-15,3950551.4500000095,39904.55000000005
1284,Slow* ,2,The Walking Dead ,New_York,8398748,-8.402312479054816e-12,-4.816609711952945e-15,3950551.4500000095,39904.55000000005
1285,Slow* ,2,The Walking Dead ,New_York,8398748,-8.184274583294878e-12,-4.691620600040627e-15,3950551.4500000095,39904.55000000005
1286,Slow* ,2,The Walking Dead ,New_York,8398748,-7.94181457245499e-12,-4.552631579098877e-15,3950551.4500000095,39904.55000000005
1287,Slow* ,2,The Walking Dead ,New_York,8398748,-7.674932446535152e-12,-4.399642649127695e-15,3950551.4500000095,39904.55000000005
1288,Slow* ,2,The Walking Dead ,New_York,8398748,-7.38362820553536e-12,-4.23265381012708e-15,3950551.4500000095,39904.55000000005
1289,Slow* ,2,The Walking Dead ,New_York,8398748,-7.06790184945562e-12,-4.051665062097033e-15,3950551.4500000095,39904.55000000005
1290,Slow* ,2,The Walking Dead ,New_York,8398748,-6.727753378295927e-12,-3.856676405037552e-15,3950551.4500000095,39904.55000000005
1291,Slow* ,2,The Walking Dead ,New_York,8398748,-6.363182792056284e-12,-3.64768783894864e-15,3950551.4500000095,39904.55000000005
1292,Slow* ,2,The Walking Dead ,New_York,8398748,-5.974190090736689e-12,-3.424699363830294e-15,3950551.4500000095,39904.55000000005
1293,Slow* ,2,The Walking Dead ,New_York,8398748,-5.560775274337143e-12,-3.1877109796825163e-15,3950551.4500000095,39904.55000000005
1294,Slow* ,2,The Walking Dead ,New_York,8398748,-5.122938342857647e-12,-2.9367226865053052e-15,3950551.4500000095,39904.55000000005
1295,Slow* ,2,The Walking Dead ,New_York,8398748,-4.660679296298198e-12,-2.6717344842986617e-15,3950551.4500000095,39904.55000000005
1296,Slow* ,2,The Walking Dead ,New_York,8398748,-4.1739981346588e-12,-2.392746373062586e-15,3950551.4500000095,39904.55000000005
1297,Slow* ,2,The Walking Dead ,New_York,8398748,-3.66289485793945e-12,-2.0997583527970775e-15,3950551.4500000095,39904.55000000005
1298,Slow* ,2,The Walking Dead ,New_York,8398748,-3.1273694661401484e-12,-1.7927704235021366e-15,3950551.4500000095,39904.55000000005
1299,Slow* ,2,The Walking Dead ,New_York,8398748,-2.5674219592608967e-12,-1.4717825851777629e-15,3950551.4500000095,39904.55000000005
1300,Slow* ,2,The Walking Dead ,New_York,8398748,-1.983052337301693e-12,-1.1367948378239566e-15,3950551.4500000095,39904.55000000005
1301,Slow* ,2,The Walking Dead ,New_York,8398748,-1.374260600262539e-12,-7.878071814407178e-16,3950551.4500000095,39904.55000000005
1302,Slow* ,2,The Walking Dead ,New_York,8398748,-7.410467481434336e-13,-4.248196160280463e-16,3950551.4500000095,39904.55000000005
1303,Slow* ,2,The Walking Dead ,New_York,8398748,4.287802224224576e-12,2.457939017605951e-15,3950551.4500000095,39904.55000000005
1304,Slow* ,2,The Walking Dead ,New_York,8398748,4.114356608502242e-12,2.358513082350349e-15,3950551.4500000095,39904.55000000005
1305,Slow* ,2,The Walking Dead ,New_York,8398748,3.9409109927799086e-12,2.259087147094747e-15,3950551.4500000095,39904.55000000005
1306,Slow* ,2,The Walking Dead ,New_York,8398748,3.767465377057574e-12,2.159661211839145e-15,3950551.4500000095,39904.55000000005
1307,Slow* ,2,The Walking Dead ,New_York,8398748,3.59401976133524e-12,2.060235276583543e-15,3950551.4500000095,39904.55000000005
1308,Slow* ,2,The Walking Dead ,New_York,8398748,3.4205741456129057e-12,1.960809341327941e-15,3950551.4500000095,39904.55000000005
1309,Slow* ,2,The Walking Dead ,New_York,8398748,3.2471285298905718e-12,1.861383406072339e-15,3950551.4500000095,39904.55000000005
1310,Slow* ,2,The Walking Dead ,New_York,8398748,3.0736829141682375e-12,1.7619574708167369e-15,3950551.4500000095,39904.55000000005
1311,Slow* ,2,The Walking Dead ,New_York,8398748,2.900237298445904e-12,1.662531535561135e-15,3950551.4500000095,39904.55000000005
1312,Slow* ,2,The Walking Dead ,New_York,8398748,2.7267916827235697e-12,1.563105600305533e-15,3950551.4500000095,39904.55000000005
1313,Slow* ,2,The Walking Dead ,New_York,8398748,2.5533460670012353e-12,1.463679665049931e-15,3950551.4500000095,39904.55000000005
1314,Slow* ,2,The Walking Dead ,New_York,8398748,2.3799004512789014e-12,1.3642537297943287e-15,3950551.4500000095,39904.55000000005
1315,Slow* ,2,The Walking Dead ,New_York,8398748,2.206454835556567e-12,1.2648277945387267e-15,3950551.4500000095,39904.55000000005
1316,Slow* ,2,The Walking Dead ,New_York,8398748,2.0330092198342332e-12,1.1654018592831248e-15,3950551.4500000095,39904.55000000005
1317,Slow* ,2,The Walking Dead ,New_York,8398748,1.859563604111899e-12,1.0659759240275226e-15,3950551.4500000095,39904.55000000005
1318,Slow* ,2,The Walking Dead ,New_York,8398748,1.6861179883895648e-12,9.665499887719206e-16,3950551.4500000095,39904.55000000005
1319,Slow* ,2,The Walking Dead ,New_York,8398748,1.512672372667231e-12,8.671240535163187e-16,3950551.4500000095,39904.55000000005
1320,Slow* ,2,The Walking Dead ,New_York,8398748,1.3392267569448968e-12,7.676981182607166e-16,3950551.4500000095,39904.55000000005
1321,Slow* ,2,The Walking Dead ,New_York,8398748,1.1657811412225627e-12,6.682721830051146e-16,3950551.4500000095,39904.55000000005
1322,Slow* ,2,The Walking Dead ,New_York,8398748,9.923355255002286e-13,5.688462477495125e-16,3950551.4500000095,39904.55000000005
1323,Slow* ,2,The Walking Dead ,New_York,8398748,8.188899097778946e-13,4.694203124939106e-16,3950551.4500000095,39904.55000000005
1324,Slow* ,2,The Walking Dead ,New_York,8398748,6.454442940555604e-13,3.6999437723830843e-16,3950551.4500000095,39904.55000000005
1325,Slow* ,2,The Walking Dead ,New_York,8398748,4.719986783332264e-13,2.7056844198270644e-16,3950551.4500000095,39904.55000000005
1326,Slow* ,2,The Walking Dead ,New_York,8398748,2.985530626108923e-13,1.7114250672710438e-16,3950551.4500000095,39904.55000000005
1327,Slow* ,2,The Walking Dead ,New_York,8398748,1.2510744688855823e-13,7.171657147150235e-17,3950551.4500000095,39904.55000000005
1328,Slow* ,2,The Walking Dead ,New_York,8398748,3.4971422510372436e-14,2.0047011999413613e-17,3950551.4500000095,39904.55000000005
1329,Slow* ,2,The Walking Dead ,New_York,8398748,3.482908013766874e-14,1.9965415289518954e-17,3950551.4500000095,39904.55000000005
1330,Slow* ,2,The Walking Dead ,New_York,8398748,3.468673776496504e-14,1.9883818579624295e-17,3950551.4500000095,39904.55000000005
1331,Slow* ,2,The Walking Dead ,New_York,8398748,3.454439539226135e-14,1.9802221869729636e-17,3950551.4500000095,39904.55000000005
1332,Slow* ,2,The Walking Dead ,New_York,8398748,3.4402053019557654e-14,1.9720625159834977e-17,3950551.4500000095,39904.55000000005
1333,Slow* ,2,The Walking Dead ,New_York,8398748,3.425971064685396e-14,1.9639028449940318e-17,3950551.4500000095,39904.55000000005
1334,Slow* ,2,The Walking Dead ,New_York,8398748,3.411736827415026e-14,1.9557431740045655e-17,3950551.4500000095,39904.55000000005
1335,Slow* ,2,The Walking Dead ,New_York,8398748,3.397502590144656e-14,1.9475835030150996e-17,3950551.4500000095,39904.55000000005
1336,Slow* ,2,The Walking Dead ,New_York,8398748,3.3832683528742866e-14,1.9394238320256337e-17,3950551.4500000095,39904.55000000005
1337,Slow* ,2,The Walking Dead ,New_York,8398748,3.3690341156039175e-14,1.9312641610361678e-17,3950551.4500000095,39904.55000000005
1338,Slow* ,2,The Walking Dead ,New_York,8398748,3.354799878333548e-14,1.923104490046702e-17,3950551.4500000095,39904.55000000005
1339,Slow* ,2,The Walking Dead ,New_York,8398748,3.340565641063178e-14,1.914944819057236e-17,3950551.4500000095,39904.55000000005
1340,Slow* ,2,The Walking Dead ,New_York,8398748,3.3263314037928083e-14,1.90678514806777e-17,3950551.4500000095,39904.55000000005
1341,Slow* ,2,The Walking Dead ,New_York,8398748,3.3120971665224386e-14,1.898625477078304e-17,3950551.4500000095,39904.55000000005
1342,Slow* ,2,The Walking Dead ,New_York,8398748,3.297862929252069e-14,1.890465806088838e-17,3950551.4500000095,39904.55000000005
1343,Slow* ,2,The Walking Dead ,New_York,8398748,3.2836286919817e-14,1.882306135099372e-17,3950551.4500000095,39904.55000000005
1344,Slow* ,2,The Walking Dead ,New_York,8398748,3.26939445471133e-14,1.8741464641099062e-17,3950551.4500000095,39904.55000000005
1345,Slow* ,2,The Walking Dead ,New_York,8398748,3.2551602174409604e-14,1.8659867931204402e-17,3950551.4500000095,39904.55000000005
1346,Slow* ,2,The Walking Dead ,New_York,8398748,3.240925980170591e-14,1.8578271221309743e-17,3950551.4500000095,39904.55000000005
1347,Slow* ,2,The Walking Dead ,New_York,8398748,3.2266917429002216e-14,1.8496674511415084e-17,3950551.4500000095,39904.55000000005
1348,Slow* ,2,The Walking Dead ,New_York,8398748,3.212457505629852e-14,1.8415077801520425e-17,3950551.4500000095,39904.55000000005
1349,Slow* ,2,The Walking Dead ,New_York,8398748,3.198223268359482e-14,1.8333481091625766e-17,3950551.4500000095,39904.55000000005
1350,Slow* ,2,The Walking Dead ,New_York,8398748,3.1839890310891125e-14,1.8251884381731107e-17,3950551.4500000095,39904.55000000005
1351,Slow* ,2,The Walking Dead ,New_York,8398748,3.1697547938187434e-14,1.8170287671836448e-17,3950551.4500000095,39904.55000000005
1352,Slow* ,2,The Walking Dead ,New_York,8398748,3.155520556548374e-14,1.8088690961941786e-17,3950551.4500000095,39904.55000000005
1353,Slow* ,2,The Walking Dead ,New_York,8398748,3.141286319278004e-14,1.8007094252047127e-17,3950551.4500000095,39904.55000000005
1354,Slow* ,2,The Walking Dead ,New_York,8398748,3.127052082007634e-14,1.7925497542152468e-17,3950551.4500000095,39904.55000000005
1355,Slow* ,2,The Walking Dead ,New_York,8398748,3.1128178447372645e-14,1.784390083225781e-17,3950551.4500000095,39904.55000000005
1356,Slow* ,2,The Walking Dead ,New_York,8398748,3.098583607466895e-14,1.776230412236315e-17,3950551.4500000095,39904.55000000005
1357,Slow* ,2,The Walking Dead ,New_York,8398748,3.084349370196526e-14,1.768070741246849e-17,3950551.4500000095,39904.55000000005
1358,Slow* ,2,The Walking Dead ,New_York,8398748,3.070115132926156e-14,1.759911070257383e-17,3950551.4500000095,39904.55000000005
1359,Slow* ,2,The Walking Dead ,New_York,8398748,3.0558808956557863e-14,1.751751399267917e-17,3950551.4500000095,39904.55000000005
1360,Slow* ,2,The Walking Dead ,New_York,8398748,3.0416466583854166e-14,1.743591728278451e-17,3950551.4500000095,39904.55000000005
1361,Slow* ,2,The Walking Dead ,New_York,8398748,3.027412421115047e-14,1.735432057288985e-17,3950551.4500000095,39904.55000000005
1362,Slow* ,2,The Walking Dead ,New_York,8398748,3.013178183844677e-14,1.7272723862995192e-17,3950551.4500000095,39904.55000000005
1363,Slow* ,2,The Walking Dead ,New_York,8398748,2.998943946574308e-14,1.7191127153100533e-17,3950551.4500000095,39904.55000000005
1364,Slow* ,2,The Walking Dead ,New_York,8398748,2.9847097093039384e-14,1.7109530443205874e-17,3950551.4500000095,39904.55000000005
1365,Slow* ,2,The Walking Dead ,New_York,8398748,2.9704754720335687e-14,1.7027933733311215e-17,3950551.4500000095,39904.55000000005
1366,Slow* ,2,The Walking Dead ,New_York,8398748,2.956241234763199e-14,1.6946337023416553e-17,3950551.4500000095,39904.55000000005
1367,Slow* ,2,The Walking Dead ,New_York,8398748,2.942006997492829e-14,1.6864740313521894e-17,3950551.4500000095,39904.55000000005
1368,Slow* ,2,The Walking Dead ,New_York,8398748,2.9277727602224595e-14,1.6783143603627235e-17,3950551.4500000095,39904.55000000005
1369,Slow* ,2,The Walking Dead ,New_York,8398748,2.9135385229520905e-14,1.6701546893732575e-17,3950551.4500000095,39904.55000000005
1370,Slow* ,2,The Walking Dead ,New_York,8398748,2.899304285681721e-14,1.6619950183837916e-17,3950551.4500000095,39904.55000000005
1371,Slow* ,2,The Walking Dead ,New_York,8398748,2.885070048411351e-14,1.6538353473943257e-17,3950551.4500000095,39904.55000000005
1372,Slow* ,2,The Walking Dead ,New_York,8398748,2.8708358111409813e-14,1.6456756764048595e-17,3950551.4500000095,39904.55000000005
1373,Slow* ,2,The Walking Dead ,New_York,8398748,2.8566015738706116e-14,1.6375160054153936e-17,3950551.4500000095,39904.55000000005
1374,Slow* ,2,The Walking Dead ,New_York,8398748,2.8423673366002425e-14,1.6293563344259277e-17,3950551.4500000095,39904.55000000005
1375,Slow* ,2,The Walking Dead ,New_York,8398748,2.8281330993298725e-14,1.6211966634364618e-17,3950551.4500000095,39904.55000000005
1376,Slow* ,2,The Walking Dead ,New_York,8398748,2.8138988620595028e-14,1.613036992446996e-17,3950551.4500000095,39904.55000000005
1377,Slow* ,2,The Walking Dead ,New_York,8398748,2.7996646247891334e-14,1.60487732145753e-17,3950551.4500000095,39904.55000000005
1378,Slow* ,2,The Walking Dead ,New_York,8398748,2.7854303875187637e-14,1.596717650468064e-17,3950551.4500000095,39904.55000000005
1379,Slow* ,2,The Walking Dead ,New_York,8398748,2.771196150248394e-14,1.588557979478598e-17,3950551.4500000095,39904.55000000005
1380,Slow* ,2,The Walking Dead ,New_York,8398748,2.7569619129780246e-14,1.580398308489132e-17,3950551.4500000095,39904.55000000005
1381,Slow* ,2,The Walking Dead ,New_York,8398748,2.742727675707655e-14,1.572238637499666e-17,3950551.4500000095,39904.55000000005
1382,Slow* ,2,The Walking Dead ,New_York,8398748,2.7284934384372855e-14,1.5640789665102e-17,3950551.4500000095,39904.55000000005
1383,Slow* ,2,The Walking Dead ,New_York,8398748,2.7142592011669157e-14,1.5559192955207342e-17,3950551.4500000095,39904.55000000005
1384,Slow* ,2,The Walking Dead ,New_York,8398748,2.700024963896546e-14,1.5477596245312683e-17,3950551.4500000095,39904.55000000005
1385,Slow* ,2,The Walking Dead ,New_York,8398748,2.6857907266261766e-14,1.5395999535418024e-17,3950551.4500000095,39904.55000000005
1386,Slow* ,2,The Walking Dead ,New_York,8398748,2.671556489355807e-14,1.5314402825523362e-17,3950551.4500000095,39904.55000000005
1387,Slow* ,2,The Walking Dead ,New_York,8398748,2.6573222520854372e-14,1.5232806115628703e-17,3950551.4500000095,39904.55000000005
1388,Slow* ,2,The Walking Dead ,New_York,8398748,2.6430880148150678e-14,1.5151209405734044e-17,3950551.4500000095,39904.55000000005
1389,Slow* ,2,The Walking Dead ,New_York,8398748,2.628853777544698e-14,1.5069612695839385e-17,3950551.4500000095,39904.55000000005
1390,Slow* ,2,The Walking Dead ,New_York,8398748,2.6146195402743284e-14,1.4988015985944726e-17,3950551.4500000095,39904.55000000005
1391,Slow* ,2,The Walking Dead ,New_York,8398748,2.600385303003959e-14,1.4906419276050067e-17,3950551.4500000095,39904.55000000005
